,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,10,laisser,let
10,11,car,because
11,12,mettre,to put
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
35,36,donner,give
36,37,type,type
37,38,leurs,their
38,39,donné,given
39,40,train,train
40,41,corps,body
41,42,endroit,place
42,43,yeux,eyes
43,44,façon,way
44,45,écoute,listen
45,46,dont,whose
46,47,premier,first
47,48,perdu,lost
48,49,main,hand
49,50,première,first
50,51,côté,side
51,52,pouvoir,power
52,53,vieux,old
53,54,sois,be
54,55,tiens,here
55,56,matin,morning
56,58,enfant,child
57,59,point,point
58,60,venu,came
59,61,suite,after
60,62,pardon,sorry
61,63,venez,come
62,64,devant,in front of
63,65,vers,towards
64,66,minutes,minutes
65,67,demandé,request
66,68,chambre,bedroom
67,69,mis,placed
68,70,belle,beautiful
69,71,aujourd'hui,today
70,72,mari,husband
71,73,cause,cause
72,74,enfin,finally
73,76,parti,left
74,77,nouvelle,new
75,78,boulot,job
76,79,arrêter,Stop
77,80,dirait,would say
78,81,terre,Earth
79,82,compte,account
80,83,donne,given
81,84,loin,far
82,85,fin,end
83,86,croire,believe
84,87,chérie,sweetheart
85,88,plutôt,rather
86,89,aura,will have
87,90,filles,girls
88,91,jouer,to play
89,92,bureau,office
